First Name,Last Name,ID Number,Email Address,bonus
Amelia,Clark,2026001,amelia.clark@example.edu,0
Noah,Turner,2026002,noah.turner@example.edu,1
Sophia,Ramirez,2026003,sophia.ramirez@example.edu,0
Liam,Patel,2026004,liam.patel@example.edu,0
Olivia,Bennett,2026005,olivia.bennett@example.edu,2
Ethan,Nguyen,2026006,ethan.nguyen@example.edu,0
Isabella,Brooks,2026007,isabella.brooks@example.edu,0
Mason,Carter,2026008,mason.carter@example.edu,1
Mia,Diaz,2026009,mia.diaz@example.edu,0
Lucas,Foster,2026010,lucas.foster@example.edu,0
Charlotte,Hayes,2026011,charlotte.hayes@example.edu,0
James,Kim,2026012,james.kim@example.edu,0
